Keys,Chinese (Simplified)
Tip,提示
TipAdminHelp,在Discord上请求官方服务器管理员的帮助。使用'report-a-player'频道。按[{0}]键可在暂停菜单中找到Discord的链接。
TipDiscordCommunity,参加有组织的活动！加入社区Discord。按[{0}]键可在暂停菜单中找到Discord的链接。
TipAutoRun,按[{0}]键自动运行。
TipCameraMode,按[{0}]键来切换第1和第3人视图。
TipCannonExplode,装载的大炮在被毁时会爆炸。你最好小心点！
TipCaptainPoints,队长为每一次成功击中敌人船只的射击收集得分。
TipChainShot,利用链式射击来摧毁一艘船。这项任务比圆击更有效。
TipCombatMode,按[{0}]切换近战。将鼠标滑向你想要的方向，然后点击左键来攻击或者右键来格挡。
TipMapBorders,你无法在七大洋上无休止地航行！边框包含特定位置的参与。
TipMuteVoip,按[{0}]来静音特定的玩家通过VoIP。
TipMuteChat,按[{0}]可通过聊天将特定个人静音。
TipOrbitCamera,注意周围环境！按住[{0}]键环顾四周。
TipRaiseSail,启航！按[{0}]升高风帆，按[{1}]降低风速。
TipReticleDesign,通过“游戏”设置自定义十字准线的外观。
TipRecruitmentChat,可以通过“游戏”设置切换招聘聊天频道。
TipSwitchChannels,键入时按[{0}]键可在聊天频道之间切换。
TipRiggingScout,通过爬到​​战斗顶部侦察敌人的船只从更高的位置。寻找船舶索具旁边的交互图标。
TipSailWind,在风中航行时按数字键取下方形帆。它将提高船舶的机动性。
TipSailingDirection,随风飘扬，收集战术优势。小地图上箭头的方向代表风的来源方向。
TipShipGuns,较大口径的枪会造成更大的伤害并且射程更大。每艘船都配备了不同的武器库。
TipShipStern,确保船的船尾不受伤害！如果销毁将会造成重大损失。
TipSupportMusician,盛况和环境。通过在作为音乐家演奏时播放曲调，支持枪械准确性的等级和档案。按[{0}]，然后按[{1}]。
TipSurgeonHealing,在玩外科医生课时，按住[{0}]键可以治疗其他玩家。你在治疗其他球员时会得分。
TipVoipSpeak,按[{0}]通过VoIP与其他玩家通话。女士们，先生们，记得要尊重。
TipOfficerIssueOrder,坚定不移的人。通过按[{0}]键向步兵官类发出命令，以提供枪械准确度和近战伤害加成的等级和档案。
TipReceivedBuffs,在队伍中尽职尽责。线路步兵，掷弹兵和守卫通过遵循军官的命令获得枪械准确性和近战伤害奖励。
TipSkirmish,不太热衷于站在队伍中？与步枪兵或轻型步兵课进行冲突并从远处挑选目标。
TipSapperConstruct,通过工兵级强化战略地位。按[{0}]装备你的锤子并构建防御。
TipArtillery,用火炮支持后方的战斗。 Cannoneer和rocketeer课程擅长摧毁强化的阵地。
TipFlagBearer,在战场上游行你的派系的颜色。提高使用旗手级别时重新装弹的速度。
TipWaveSpawn,在波浪中产卵。使用此作为组装和组织的机会。
TipLimitedReinforcements,有限的增援！务必制定策略并进行协调。如果它们耗尽，你将无法再生成。
TipCapturePoints,控制和征服！在地图周围捍卫和捕捉目标以获得胜利。捕获的目标用作前向产卵位置。
TipStrategicCapture,一起玩！协调攻击和制定战略。除非您的团队数量更多，否则无法捕获目标。
TipSiegeAttackers,攻击者！在计时器用完之前捕获所有主要目标。协调攻击并使用火炮突破防御。 “孤独的希望”造成的生命损失是必要的牺牲。
TipSiegeDefenders,捍卫者！防止攻击部队捕获您的主要目标。你需要活下来，直到圆形计时器用完有限的加固。善用封面。
TipSingleLife,单身生活！如果你遇到了你的结局，你将不得不等待一轮完成才能重生。一定要好好利用它。
TipMeleeArena,在近战竞技场中最好的对手！制定战略并罢工。阻挡是赢得比赛的关键。
TipDeathmatch,全力争吵！达到一定数量的杀戮以获得胜利。
TipSinkVessels,沉没敌人的船！充分利用链条和圆形射击来沉没敌人的船只。与您的船员配合，实现这一目标。
TipCoastalDefenders,捍卫者！防止入侵部队捕获你的沿海防御工事。操纵堡垒的枪支，防止入侵者入侵。
TipCoastalAttackers,入侵者！捕获对立阵营的防御工事。在海军陆战队员和船员登陆岸之前，充分利用火箭和大炮突破防御阵地。
TipEquipSpyglass,视线远距离的朋友或敌人。按[{0}]键配备望远镜。
TipEquipLantern,在黑暗中点亮你的方式或者知道你的位置。按[{0}]装备灯笼。
TipRandomPiano,享受片刻的喘息时光，在钢琴上演奏一些曲调。您可以在各种地图上的建筑物内找到它们。
TipClassStats,课程有自己独特的特点，能力和装备装载。选择“生成”菜单中的“属性”和“设备”选项卡，以确定哪种类适合您的游戏风格。
TipStunOpponent,当事情变得非常接近和个人化时，用近战二次攻击猛击你的敌人。当使用近战武器击晕你的对手时按[{0}]。
